,college,df
0,001-國立臺灣大學-中國文學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系教育目標在厚植學生人文能力，以「語文表達能力」為主，「經典詮釋能力」為輔。開設課程強調文...
2  學習準備建議方向  ...  本系教育目標在厚植學生人文能力，以「語文表達能力」為主，「經典詮釋能力」為輔。開設課程強調文...
3  學習準備建議方向  ...  本系教育目標在厚植學生人文能力，以「語文表達能力」為主，「經典詮釋能力」為輔。開設課程強調文...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
1,001-國立臺灣大學-外國語文學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系培養深具人文素養之高級 外語人才，課程安排講求文學與語言訓練並重，適合對文學、語文、人文...
2  學習準備建議方向  ...  本系培養深具人文素養之高級 外語人才，課程安排講求文學與語言訓練並重，適合對文學、語文、人文...
3  學習準備建議方向  ...  本系培養深具人文素養之高級 外語人才，課程安排講求文學與語言訓練並重，適合對文學、語文、人文...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                             1.英文作文

[6 rows x 4 columns]]"
2,001-國立臺灣大學-歷史學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                              3
0        項目  ...                             內容
1  學習準備建議方向  ...                              無
2  學習準備建議方向  ...                              無
3  學習準備建議方向  ...                              無
4    學習歷程自述  ...  1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                1.本系命題之小論文2.推薦信

[6 rows x 4 columns]]"
3,001-國立臺灣大學-哲學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  哲學對宇宙、世界、社會與人生各領域進行深入反省思考，在本質上就不限於一種學科的範圍。因此，在...
2  學習準備建議方向  ...  哲學對宇宙、世界、社會與人生各領域進行深入反省思考，在本質上就不限於一種學科的範圍。因此，在...
3  學習準備建議方向  ...  哲學對宇宙、世界、社會與人生各領域進行深入反省思考，在本質上就不限於一種學科的範圍。因此，在...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
4,001-國立臺灣大學-人類學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系學士班旨在培養具人類學多元文化視野的人才。畢業生應理解人類社會文化發展歷程與特性，並具有...
2  學習準備建議方向  ...  本系學士班旨在培養具人類學多元文化視野的人才。畢業生應理解人類社會文化發展歷程與特性，並具有...
3  學習準備建議方向  ...  本系學士班旨在培養具人類學多元文化視野的人才。畢業生應理解人類社會文化發展歷程與特性，並具有...
4    學習歷程自述  ...                                                  無
5        其他  ...                                                  無

[6 rows x 4 columns]]"
5,001-國立臺灣大學-圖書資訊學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系藉由圖資學相關研習與訓練，培育具問題分析與解決能力且兼具跨領域專長之人才，適合有志於深入...
2  學習準備建議方向  ...  本系藉由圖資學相關研習與訓練，培育具問題分析與解決能力且兼具跨領域專長之人才，適合有志於深入...
3  學習準備建議方向  ...  本系藉由圖資學相關研習與訓練，培育具問題分析與解決能力且兼具跨領域專長之人才，適合有志於深入...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                  1.本系個人資料表2.選繳其他有利審查資料3.選繳彌封之師長推薦函

[6 rows x 4 columns]]"
6,001-國立臺灣大學-日本語文學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  本系培養具備人文素養、獨立思考能力、提升台日關係多領域之專業人才為目標。適合有志於學習日本語...
2  學習準備建議方向  ...  本系培養具備人文素養、獨立思考能力、提升台日關係多領域之專業人才為目標。適合有志於學習日本語...
3  學習準備建議方向  ...  本系培養具備人文素養、獨立思考能力、提升台日關係多領域之專業人才為目標。適合有志於學習日本語...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                         1.其他有利審查資料

[6 rows x 4 columns]]"
7,001-國立臺灣大學-戲劇學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  1.本系屬文史哲及藝術學群。（供修課參考）2.本系尋找動靜皆宜、能文能武之人才，適合喜歡團體...
2  學習準備建議方向  ...  1.本系屬文史哲及藝術學群。（供修課參考）2.本系尋找動靜皆宜、能文能武之人才，適合喜歡團體...
3  學習準備建議方向  ...  1.本系屬文史哲及藝術學群。（供修課參考）2.本系尋找動靜皆宜、能文能武之人才，適合喜歡團體...
4    學習歷程自述  ...                      1.高中學習歷程反思2.就讀動機3.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
8,001-國立臺灣大學-數學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  備註：根據大學與高中數學教學落差調查報告，目前高中生需加強以下三項：1.強化基本邏輯能力訓練...
2  學習準備建議方向  ...  備註：根據大學與高中數學教學落差調查報告，目前高中生需加強以下三項：1.強化基本邏輯能力訓練...
3  學習準備建議方向  ...  備註：根據大學與高中數學教學落差調查報告，目前高中生需加強以下三項：1.強化基本邏輯能力訓練...
4    學習歷程自述  ...                                   1.高中學習歷程反思2.就讀動機
5        其他  ...                           1.具備完整高中數學能力2.數學思考與證明的訓練

[6 rows x 4 columns]]"
9,001-國立臺灣大學-物理學系,"[                                                   0
0  ※本表僅係大學學系招生選才時，於申請入學第二階段甄試過程之學習準備建議方向，並非指學生必須具...,           0  ...                                                  3
0        項目  ...                                                 內容
1  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等科目選修與成績表現。二、課程學習成果：著重修習數學、物...
2  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等科目選修與成績表現。二、課程學習成果：著重修習數學、物...
3  學習準備建議方向  ...  一、修課紀錄：著重數學、物理、英語文等科目選修與成績表現。二、課程學習成果：著重修習數學、物...
4    學習歷程自述  ...                                1.就讀動機2.未來學習計畫與生涯規劃
5        其他  ...                                                  無

[6 rows x 4 columns]]"
