college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,外國語文學系,國文,前標,--,英文,頂標,2.5,數學A,均標,--,數學B,均標,--,社會,前標,--,*1.00,*2.00,--,--,*1.00,20%,審查資料,--,20%,英文作文筆試,--,20%,英語口試測驗,--,20%,,,,,,,一、指定項目甄試成績二、英文作文筆試三、學科能力測驗成績四、英語口試測驗,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(L、M、N)、學習歷程自述(O、P、Q)、其他(R.英文作文) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立臺灣師範大學,英語學系,國文,前標,4,英文,頂標,3,數學B,--,--,社會,--,5,國英數B社,--,6,*1.50,*2.00,*1.00,*1.00,--,30%,審查資料,--,30%,口試,--,35%,,,,,,,,,,一、口試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
國立中興大學,外國語文學系,國文,前標,5,英文,前標,3,社會,均標,--,國英社,--,6,英聽,A級,--,*1.00,*2.00,*1.00,--,--,50%,審查資料,--,50%,英文讀寫能力,--,25%,,,,,,,,,,一、英文讀寫能力二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(J、K、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立成功大學,外國語文學系,國文,前標,5.0,英文,頂標,3.5,社會,--,6.0,國英社,--,8.0,,,,*1.00,*2.00,*1.00,--,,30%,審查資料,--,30%,英文寫作能力測驗,--,15%,面試,--,25%,,,,,,,一、面試二、審查資料三、英文寫作能力測驗四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
東吳大學,英文學系,國文,均標,5.0,英文,前標,3.0,,,,,,,,,,*1.00,*2.00,,,,40%,審查資料,--,40%,英文文法、閱讀與寫作,--,30%,,,,,,,,,,一、英文文法、閱讀與寫作二、學測英文級分三、審查資料四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、K、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文之級分總和,1
國立政治大學,英國語文學系,國文,前標,--,英文,頂標,5,數學B,--,--,社會,--,--,國英數B社,--,3,*1.50,*2.00,*1.00,*1.00,--,50%,審查資料,--,50%,「作文與翻譯」筆試,60分,15%,英語面試,--,15%,,,,,,,一、「作文與翻譯」筆試二、英語面試三、學科能力測驗成績四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.三百至五百字英文自傳) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
中原大學,應用外國語文學系,國文,--,4.0,英文,均標,3.0,,,,,,,,,,*1.50,*2.00,,,,30%,審查資料,--,30%,英文面試,70分,30%,,,,,,,,,,一、英文面試二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分,1
東海大學,外國語文學系,國文,--,--,英文,均標,3,,,,,,,,,,*1.00,*2.00,,,,40%,審查資料,--,40%,英文面試,--,30%,,,,,,,,,,一、學測英文級分二、英文面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
國立清華大學,外國語文學系,國文,頂標,5,英文,頂標,3,數學B,均標,--,社會,頂標,5,英聽,A級,--,*1.50,*2.00,*1.00,*1.00,--,40%,審查資料,--,40%,英語讀寫能力,--,30%,,,,,,,,,,一、學測國英數B社級分總和二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、L、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B、社會之級分總和,1
國立陽明交通大學,外國語文學系,國文,前標,3,英文,頂標,5,數學B,均標,--,社會,均標,--,,,,*1.25,*1.50,*1.00,*1.00,,50%,審查資料,--,50%,作文與翻譯筆試,--,25%,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測社會級分,項目：修課紀錄(A)、多元表現(J、L、N) ,一、學測國文、英文、數學B、社會之級分總和,1
淡江大學,英文學系,英文,均標,3.0,,,,,,,,,,,,,*2.00,,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、L、M、N)、學習歷程自述(P、Q) ,一、學測英文級分,1
淡江大學,英文學系全英語學士班,英文,均標,3.0,,,,,,,,,,,,,*2.00,,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、L、M、N)、學習歷程自述(P、Q) ,一、學測英文級分,1
逢甲大學,外國語文學系,國文,--,--,英文,均標,3,社會,--,--,國英社,--,5,,,,*1.50,*2.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、面試三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.英文短文(作文)、S.遊學或國際交換經驗、T.其他有利審查資料) ,一、學測國文、英文、社會之級分總和,1
