college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立中正大學,傳播學系,國文,均標,3.0,英文,均標,6.0,社會,均標,8.0,,,,,,,*1.25,*1.25,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P)、其他(R.表達對公共事務的見解、S.參與社會社區活動事例) ,一、學測國文、英文、社會之級分總和,1
慈濟大學,傳播學系,國文,後標,5.0,社會,底標,4.0,國社,--,3.0,,,,,,,*2.00,*1.00,--,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、學測國文級分三、學測社會級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和,1
佛光大學,傳播學系(廣告公關組),國文,--,--,社會,底標,3,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,0
佛光大學,傳播學系(數位媒體組),國文,底標,--,社會,--,--,國社,--,3,,,,,,,*1.00,*1.00,--,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,0
佛光大學,傳播學系(流行音樂傳播組),國文,底標,3,社會,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,0
南華大學,傳播學系廣告公關新聞組,社會,底標,4.5,,,,,,,,,,,,,*1.00,,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測社會級分,0
南華大學,傳播學系影劇表演藝術組,國文,底標,--,社會,--,--,國社,--,4.5,,,,,,,*1.00,*1.00,--,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國社級分總和四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和　二、學測國文級分,0
南華大學,傳播學系數位影音製作組,國文,底標,4.5,,,,,,,,,,,,,*1.00,,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文級分,0
國立政治大學,傳播學院大一大二不分系(社會組),國文,前標,3.5,英文,前標,3.5,數學B,--,--,社會,--,--,國英數B社,--,3.0,*1.50,*1.50,*1.00,*1.00,--,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,0
國立政治大學,傳播學院大一大二不分系(自然組),國文,--,--,英文,前標,3.5,數學A,前標,3.5,自然,--,--,國英數A自,--,3.0,*1.00,*1.50,*1.50,*1.00,--,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,0
